ticker,code,eps_growth,vol_ratio_1w,close,open|1W,high|1W,low|1W,volume|1W,market_cap_basic,sector,industry
NASDAQ:XOMA,XOMA,207.82918149466192,0.5178745685766653,41.79,42.4,42.4,41.65,600058,738794591.5887558,Health Technology,Pharmaceuticals: Major
NYSE:SXI,SXI,206.0405643738977,0.9035928627817503,303.16,294.1,309.0,287.54,865083,3672759741.334167,Electronic Technology,Electronic Equipment/Instruments
NASDAQ:FXNC,FXNC,204.50958286358514,0.9359854539529324,30.19,29.06,30.51,28.9,365333,272946788.09235454,Finance,Regional Banks
NYSE:PKE,PKE,202.2508038585209,1.480803114340692,35.66,33.17,36.67,31.87,1700959,744504453.24088,Electronic Technology,Aerospace & Defense
NASDAQ:ATRO,ATRO,201.2623985572588,1.7812123029840339,96.0,86.645,99.89,80.19,4311631,3435710154.936709,Electronic Technology,Aerospace & Defense
NYSE:ARW,ARW,200.42286091840103,0.5997991879090584,226.78,222.51,227.9899,210.09,2102755,11596156184.77986,Distribution Services,Electronics Distributors
NYSE:FR,FR,197.24366041896363,0.9324402403163082,63.57,61.53,63.98,60.5,4053601,8710135555.906832,Finance,Real Estate Investment Trusts
NYSE:FNF,FNF,197.17105263157893,0.7962526957294467,47.92,47.09,48.38,46.89,6286405,12898029085.90632,Finance,Specialty Insurance
NASDAQ:CAC,CAC,197.0649410677144,0.8236717001858821,52.68,50.5,52.885,45.58,395746,891065396.1592579,Finance,Major Banks
NYSE:NGVT,NGVT,196.88841201716735,0.9694974962074838,71.98,66.54,73.195,65.06,1132652,2502866207.8350253,Process Industries,Chemicals: Major Diversified
NASDAQ:FIVE,FIVE,196.8079399141631,1.3188715388199896,198.49,190.47,203.93,184.68,7898738,10975574670.6194,Retail Trade,Discount Stores
NYSE:CNO,CNO,195.03386004514672,0.9329924362039623,50.36,47.67,50.71,47.67,3171088,4701030731.09946,Finance,Multi-Line Insurance
