snapshot_date,code,rule,dry_state,original_rank,reward_only_rank,rank_delta,original_top3_position,reward_only_top3_position,original_top3_member,reward_only_top3_member
2025-12-19,TKO,ma10_touch_confirm,Missing,16,16,0,,,False,False
2025-12-19,TSLA,pivot,Missing,10,11,-1,,,False,False
2025-12-26,ALM,ma10_touch_confirm,Missing,17,17,0,,,False,False
2025-12-26,AU,pivot,False,9,9,0,,,False,False
2025-12-26,CAH,ma10_touch_confirm,False,10,10,0,,,False,False
2025-12-26,CASY,pivot,False,6,5,1,,,False,False
2025-12-26,CIEN,ma10_touch_confirm,False,11,11,0,,,False,False
2025-12-26,FEIM,ma10_touch_confirm,True,13,14,-1,,,False,False
2025-12-26,HUT,ceiling_pullback,False,2,2,0,2.0,2.0,True,True
2025-12-26,HWM,pivot,Missing,5,6,-1,,,False,False
2025-12-26,IBKR,pivot,True,3,3,0,,,False,False
2025-12-26,JPM,three_weeks_tight,False,7,7,0,,,False,False
2025-12-26,NU,pivot,False,15,15,0,,,False,False
2025-12-26,NVDA,pivot,False,14,13,1,,,False,False
2025-12-26,SCHW,ma10_touch_confirm,Missing,4,4,0,,,False,False
2025-12-26,SNDK,ma10_touch_confirm,False,16,16,0,,,False,False
2025-12-26,TSM,pivot,False,8,8,0,,,False,False
2026-01-02,ASML,pivot,Missing,9,9,0,,,False,False
2026-01-02,BTSG,ma10_touch_confirm,False,5,2,3,,,False,False
2026-01-02,FTAI,ma10_touch_confirm,Missing,1,1,0,1.0,1.0,True,True
2026-01-02,HWM,pivot,True,2,3,-1,,,False,False
2026-01-02,LSCC,pivot,True,3,5,-2,,,False,False
2026-01-02,RKLB,pivot,False,6,4,2,,,False,False
2026-01-02,SHEL,pivot,Missing,4,6,-2,,,False,False
2026-01-02,TSM,pivot,True,7,7,0,,,False,False
2026-01-09,AMAT,pivot,True,35,35,0,,,False,False
2026-01-09,ASML,ma10_touch_confirm,Missing,40,40,0,,,False,False
2026-01-09,AU,pivot,False,21,21,0,,,False,False
2026-01-09,AZN,pivot,True,8,9,-1,,,False,False
2026-01-09,CASY,ceiling_pullback,False,20,14,6,,,False,False
2026-01-09,CAT,pivot,True,10,12,-2,,,False,False
2026-01-09,CHRW,pivot,True,4,4,0,,,False,False
2026-01-09,CVNA,ceiling_pullback,False,36,36,0,,,False,False
2026-01-09,EXPE,pivot,True,6,7,-1,,,False,False
2026-01-09,FTAI,ma10_touch_confirm,Missing,22,22,0,,,False,False
2026-01-09,GH,ma10_touch_confirm,True,3,3,0,1.0,1.0,True,True
2026-01-09,GOOG,pivot,True,7,8,-1,,,False,False
2026-01-09,GSK,three_weeks_tight,False,19,11,8,,,False,False
2026-01-09,HEI,ma10_touch_confirm,False,30,25,5,,,False,False
2026-01-09,HLT,three_weeks_tight,False,16,5,11,,,False,False
2026-01-09,HUT,pivot,False,37,37,0,,,False,False
2026-01-09,HWM,ma10_touch_confirm,Missing,12,15,-3,,,False,False
2026-01-09,LGND,pivot,True,9,10,-1,,,False,False
2026-01-09,LSCC,pivot,True,13,16,-3,,,False,False
2026-01-09,NTRA,ma10_touch_confirm,True,17,19,-2,,,False,False
2026-01-09,NU,ma10_touch_confirm,True,2,2,0,,,False,False
2026-01-09,ROST,three_weeks_tight,True,14,17,-3,,,False,False
2026-01-09,SNDK,pivot,False,34,31,3,,,False,False
2026-01-09,STX,ma10_touch_confirm,True,5,6,-1,,,False,False
2026-01-09,UAL,ceiling_pullback,True,15,18,-3,,,False,False
2026-01-09,W,pivot,True,11,13,-2,,,False,False
2026-01-09,WDC,ma10_touch_confirm,True,23,23,0,,,False,False
2026-01-09,WES,pivot,Missing,18,20,-2,,,False,False
2026-01-16,BTU,ma10_touch_confirm,Missing,4,4,0,,,False,False
2026-01-16,CAH,pivot,True,6,9,-3,,,False,False
2026-01-16,FE,three_weeks_tight,True,3,3,0,2.0,2.0,True,True
2026-01-16,FN,pivot,False,13,11,2,,,False,False
2026-01-16,IBKR,pivot,True,19,19,0,,,False,False
2026-01-16,JNJ,pivot,True,5,5,0,,,False,False
2026-01-16,MNST,ma10_touch_confirm,False,8,6,2,,,False,False
2026-01-16,RTX,three_weeks_tight,False,9,7,2,,,False,False
2026-01-16,SANM,pivot,True,7,10,-3,,,False,False
2026-01-16,SCHW,pivot,False,12,8,4,,,False,False
2026-01-16,STX,pivot,True,18,18,0,,,False,False
2026-01-16,WELL,pivot,True,10,12,-2,,,False,False
2026-01-16,WMT,pivot,True,20,20,0,,,False,False
2026-01-16,WULF,ma10_touch_confirm,True,11,13,-2,,,False,False
2026-01-23,ALM,pivot,False,12,10,2,,,False,False
2026-01-23,BIDU,pivot,Missing,10,13,-3,,,False,False
2026-01-23,BKR,ma10_touch_confirm,Missing,14,14,0,,,False,False
2026-01-23,COHR,pivot,False,13,11,2,,,False,False
2026-01-23,CVNA,ma10_touch_confirm,False,5,4,1,,,False,False
2026-01-23,GH,pivot,True,4,5,-1,,,False,False
2026-01-23,LMND,pivot,False,11,9,2,,,False,False
2026-01-23,NU,pivot,False,3,3,0,,,False,False
2026-01-23,PAC,pivot,False,6,6,0,,,False,False
2026-01-30,ALM,ma10_touch_confirm,False,16,16,0,,,False,False
2026-01-30,CAH,pivot,False,12,11,1,,,False,False
2026-01-30,CIEN,pivot,True,8,12,-4,,,False,False
2026-01-30,GOOG,ma10_touch_confirm,False,9,7,2,,,False,False
2026-01-30,GSK,pivot,False,11,9,2,,,False,False
2026-01-30,IBM,ceiling_pullback,False,14,14,0,,,False,False
2026-01-30,JNJ,ma10_touch_confirm,True,6,6,0,,,False,False
2026-01-30,KO,ma10_touch_confirm,Missing,5,5,0,,,False,False
2026-01-30,MDT,ma10_touch_confirm,Missing,7,10,-3,,,False,False
2026-01-30,PFG,pivot,False,13,13,0,,,False,False
2026-01-30,SCHW,pivot,False,10,8,2,,,False,False
2026-01-30,SHEL,pivot,False,15,15,0,,,False,False
2026-02-13,AEIS,ma10_touch_confirm,False,26,25,1,,,False,False
2026-02-13,AMAT,pivot,False,27,27,0,,,False,False
2026-02-13,AU,pivot,False,19,16,3,,,False,False
2026-02-13,AZN,ma10_touch_confirm,False,14,11,3,,,False,False
2026-02-13,DG,ma10_touch_confirm,False,3,2,1,,,False,False
2026-02-13,HWM,pivot,False,25,24,1,,,False,False
2026-02-13,LSCC,pivot,True,24,26,-2,,,False,False
2026-02-13,MTZ,ma10_touch_confirm,False,4,4,0,,,False,False
2026-02-13,NEM,pivot,False,17,14,3,,,False,False
2026-02-13,NYAX,ceiling_pullback,False,23,23,0,,,False,False
2026-02-13,PFIS,ma10_touch_confirm,Missing,2,3,-1,,,False,False
2026-02-13,ROST,pivot,False,7,7,0,,,False,False
2026-02-13,SHEL,pivot,False,5,5,0,,,False,False
2026-02-13,TSM,pivot,False,6,6,0,,,False,False
2026-02-13,WES,ceiling_pullback,False,20,20,0,,,False,False
2026-02-13,WLK,ma10_touch_confirm,Missing,16,18,-2,,,False,False
2026-02-20,AAOI,ma10_touch_confirm,Missing,10,11,-1,,,False,False
2026-02-20,AXTI,pivot,False,13,10,3,,,False,False
2026-02-20,COHR,ma10_touch_confirm,False,4,4,0,,,False,False
2026-02-20,FANG,ma10_touch_confirm,Missing,1,2,-1,1.0,2.0,True,True
2026-02-20,FN,pivot,False,15,15,0,,,False,False
2026-02-20,HEI,ceiling_pullback,False,2,1,1,2.0,1.0,True,True
2026-02-20,HWM,ma10_touch_confirm,False,5,5,0,,,False,False
2026-02-20,MRNA,ceiling_pullback,False,16,16,0,,,False,False
2026-02-20,PAC,ma10_touch_confirm,False,18,18,0,,,False,False
2026-02-20,RTX,pivot,False,17,17,0,,,False,False
2026-02-20,SHEL,ma10_touch_confirm,False,6,6,0,,,False,False
2026-02-20,TTMI,pivot,False,3,3,0,,,False,False
2026-02-20,XPO,ma10_touch_confirm,False,7,7,0,,,False,False
2026-02-27,AMGN,pivot,True,7,7,0,,,False,False
2026-02-27,APEI,pivot,False,11,9,2,,,False,False
2026-02-27,AU,ma10_touch_confirm,False,20,20,0,,,False,False
2026-02-27,AZN,ma10_touch_confirm,False,13,12,1,,,False,False
2026-02-27,BMY,pivot,True,8,8,0,,,False,False
2026-02-27,BTSG,ma10_touch_confirm,False,24,23,1,,,False,False
2026-02-27,CASY,three_weeks_tight,False,25,24,1,,,False,False
2026-02-27,CDE,pivot,Missing,9,11,-2,,,False,False
2026-02-27,DG,pivot,False,12,10,2,,,False,False
2026-02-27,FCX,ma10_touch_confirm,False,19,19,0,,,False,False
2026-02-27,FIGS,pivot,True,14,14,0,,,False,False
2026-02-27,JNJ,three_weeks_tight,False,6,5,1,,,False,False
2026-02-27,KO,three_weeks_tight,False,26,26,0,,,False,False
2026-02-27,NATL,ma10_touch_confirm,False,23,22,1,,,False,False
2026-02-27,NEM,pivot,False,27,27,0,,,False,False
2026-02-27,OR,pivot,Missing,10,13,-3,,,False,False
2026-02-27,PAAS,pivot,False,21,21,0,,,False,False
2026-02-27,TIGO,pivot,False,18,16,2,,,False,False
2026-02-27,TKO,pivot,True,5,6,-1,,,False,False
2026-02-27,VICR,ma10_touch_confirm,False,15,15,0,,,False,False
2026-03-06,EXPE,ma10_touch_confirm,Missing,5,5,0,,,False,False
2026-03-06,FIGS,ma10_touch_confirm,True,1,1,0,1.0,1.0,True,True
2026-03-06,LMT,three_weeks_tight,False,8,7,1,,,False,False
2026-03-06,RTX,ma10_touch_confirm,False,2,2,0,2.0,2.0,True,True
2026-03-06,VVX,pivot,Missing,3,3,0,,,False,False
2026-03-13,APEI,pivot,False,7,7,0,,,False,False
2026-03-13,DOCN,ceiling_pullback,False,4,4,0,1.0,1.0,True,True
2026-03-13,KR,ma10_touch_confirm,Missing,2,2,0,,,False,False
2026-03-13,MU,ma10_touch_confirm,False,9,9,0,,,False,False
2026-03-13,NYAX,pivot,Missing,1,1,0,,,False,False
2026-03-13,SNDK,pivot,False,8,8,0,,,False,False
2026-03-13,WLK,ceiling_pullback,False,3,3,0,,,False,False
2026-03-20,BTU,ma10_touch_confirm,Missing,7,7,0,,,False,False
2026-03-20,CIEN,pivot,False,4,4,0,,,False,False
2026-03-20,DOCN,pivot,False,8,8,0,,,False,False
2026-03-20,MTZ,pivot,False,3,2,1,,,False,False
2026-03-20,STX,ma10_touch_confirm,True,6,6,0,,,False,False
2026-03-20,WDC,ma10_touch_confirm,True,2,3,-1,,,False,False
2026-03-27,BKR,ma10_touch_confirm,False,7,7,0,,,False,False
2026-03-27,CASY,pivot,False,2,2,0,2.0,2.0,True,True
2026-03-27,GEV,ma10_touch_confirm,False,6,6,0,,,False,False
2026-03-27,NEM,pivot,False,10,10,0,,,False,False
2026-03-27,TIGO,pivot,False,3,3,0,,,False,False
2026-04-02,AD,ma10_touch_confirm,Missing,5,5,0,,,False,False
2026-04-02,AROW,ma10_touch_confirm,Missing,15,17,-2,,,False,False
2026-04-02,BTSG,pivot,False,29,19,10,,,False,False
2026-04-02,BVFL,pivot,False,9,6,3,,,False,False
2026-04-02,CLST,three_weeks_tight,False,44,44,0,,,False,False
2026-04-02,ECO,ma10_touch_confirm,False,43,43,0,,,False,False
2026-04-02,ELA,ma10_touch_confirm,Missing,6,7,-1,,,False,False
2026-04-02,EQIX,pivot,Missing,7,8,-1,,,False,False
2026-04-02,FCX,ma10_touch_confirm,Missing,37,38,-1,,,False,False
2026-04-02,FN,pivot,False,30,20,10,,,False,False
2026-04-02,FRO,ma10_touch_confirm,False,36,32,4,,,False,False
2026-04-02,GEV,pivot,False,31,21,10,,,False,False
2026-04-02,HG,pivot,True,4,4,0,,,False,False
2026-04-02,INSW,pivot,False,11,10,1,,,False,False
2026-04-02,LITE,pivot,False,40,36,4,,,False,False
2026-04-02,MSGS,ma10_touch_confirm,False,32,22,10,,,False,False
2026-04-02,PAHC,ceiling_pullback,False,10,9,1,,,False,False
2026-04-02,PFIS,ma10_touch_confirm,Missing,3,3,0,3.0,3.0,True,True
2026-04-02,PL,pivot,False,22,15,7,,,False,False
2026-04-02,ROST,pivot,False,12,11,1,,,False,False
2026-04-02,SATS,pivot,False,23,16,7,,,False,False
2026-04-02,SSRM,ma10_touch_confirm,Missing,45,45,0,,,False,False
2026-04-02,STX,ma10_touch_confirm,False,33,24,9,,,False,False
2026-04-02,TDW,ma10_touch_confirm,False,42,42,0,,,False,False
2026-04-02,TMP,ma10_touch_confirm,Missing,21,28,-7,,,False,False
2026-04-02,VIK,ceiling_pullback,False,35,30,5,,,False,False
2026-04-02,XPO,ma10_touch_confirm,True,8,12,-4,,,False,False
2026-04-10,AA,ma10_touch_confirm,Missing,16,20,-4,,,False,False
2026-04-10,AAOI,ma10_touch_confirm,False,69,68,1,,,False,False
2026-04-10,ADC,ma10_touch_confirm,Missing,17,21,-4,,,False,False
2026-04-10,AEIS,pivot,True,52,59,-7,,,False,False
2026-04-10,AMAT,pivot,True,41,42,-1,,,False,False
2026-04-10,AROW,pivot,Missing,29,30,-1,,,False,False
2026-04-10,ASML,pivot,False,64,63,1,,,False,False
2026-04-10,AU,ma10_touch_confirm,False,55,49,6,,,False,False
2026-04-10,BBT,pivot,Missing,8,8,0,,,False,False
2026-04-10,BVFL,pivot,False,5,5,0,,,False,False
2026-04-10,BWFG,pivot,True,65,65,0,,,False,False
2026-04-10,C,pivot,False,23,22,1,,,False,False
2026-04-10,CAT,pivot,True,10,10,0,,,False,False
2026-04-10,COHR,pivot,False,58,52,6,,,False,False
2026-04-10,CTRI,pivot,False,19,13,6,,,False,False
2026-04-10,D,pivot,Missing,9,9,0,,,False,False
2026-04-10,DAN,pivot,True,13,17,-4,,,False,False
2026-04-10,DBD,pivot,False,4,4,0,,,False,False
2026-04-10,FE,pivot,False,24,23,1,,,False,False
2026-04-10,FN,ma10_touch_confirm,False,20,14,6,,,False,False
2026-04-10,GEV,ma10_touch_confirm,False,59,53,6,,,False,False
2026-04-10,GLW,pivot,False,60,54,6,,,False,False
2026-04-10,GSK,ma10_touch_confirm,False,25,24,1,,,False,False
2026-04-10,HLT,pivot,True,11,11,0,,,False,False
2026-04-10,HON,ma10_touch_confirm,Missing,46,47,-1,,,False,False
2026-04-10,INVA,ma10_touch_confirm,Missing,34,35,-1,,,False,False
2026-04-10,IVT,ceiling_pullback,True,14,18,-4,,,False,False
2026-04-10,KEYS,pivot,False,21,15,6,,,False,False
2026-04-10,LSCC,pivot,True,53,60,-7,,,False,False
2026-04-10,MKSI,pivot,False,26,25,1,,,False,False
2026-04-10,MRVL,ma10_touch_confirm,Missing,28,29,-1,,,False,False
2026-04-10,NHC,three_weeks_tight,False,6,6,0,,,False,False
2026-04-10,NVT,pivot,Missing,50,55,-5,,,False,False
2026-04-10,OPY,pivot,False,33,28,5,,,False,False
2026-04-10,PAHC,pivot,False,22,16,6,,,False,False
2026-04-10,PFG,ma10_touch_confirm,Missing,47,48,-1,,,False,False
2026-04-10,PFIS,pivot,Missing,66,66,0,,,False,False
2026-04-10,SMTC,ma10_touch_confirm,Missing,67,67,0,,,False,False
2026-04-10,SNDK,pivot,True,42,43,-1,,,False,False
2026-04-10,SSRM,pivot,Missing,36,37,-1,,,False,False
2026-04-10,STX,pivot,False,54,41,13,,,False,False
2026-04-10,TCBI,ma10_touch_confirm,Missing,37,38,-1,,,False,False
2026-04-10,TER,pivot,False,40,31,9,,,False,False
2026-04-10,TTMI,pivot,True,43,44,-1,,,False,False
2026-04-10,UI,ma10_touch_confirm,Missing,51,56,-5,,,False,False
2026-04-10,VALE,ma10_touch_confirm,True,15,19,-4,,,False,False
2026-04-10,VRT,pivot,False,61,57,4,,,False,False
2026-04-10,VTR,ceiling_pullback,False,27,26,1,,,False,False
2026-04-10,WDC,pivot,False,62,58,4,,,False,False
2026-04-10,WMT,pivot,True,18,27,-9,,,False,False
2026-04-10,WWD,ma10_touch_confirm,True,7,7,0,,,False,False
2026-04-10,XPO,pivot,True,12,12,0,,,False,False
2026-04-17,ACLX,pivot,False,39,31,8,,,False,False
2026-04-17,AD,ma10_touch_confirm,Missing,11,12,-1,,,False,False
2026-04-17,ADI,pivot,False,35,24,11,,,False,False
2026-04-17,ALNT,ma10_touch_confirm,False,36,25,11,,,False,False
2026-04-17,AMAL,pivot,True,16,21,-5,,,False,False
2026-04-17,AMKR,ma10_touch_confirm,Missing,66,69,-3,,,False,False
2026-04-17,ANRO,pivot,Missing,60,61,-1,,,False,False
2026-04-17,APEI,pivot,False,43,38,5,,,False,False
2026-04-17,AROW,ma10_touch_confirm,Missing,10,11,-1,,,False,False
2026-04-17,AXTI,ma10_touch_confirm,False,73,68,5,,,False,False
2026-04-17,BOKF,pivot,False,31,13,18,,,False,False
2026-04-17,BTSG,ma10_touch_confirm,False,37,26,11,,,False,False
2026-04-17,BURL,ma10_touch_confirm,Missing,26,39,-13,,,False,False
2026-04-17,CAC,pivot,Missing,6,6,0,,,False,False
2026-04-17,CAMT,pivot,False,44,40,4,,,False,False
2026-04-17,CASH,pivot,False,38,27,11,,,False,False
2026-04-17,CASS,pivot,Missing,4,5,-1,,,False,False
2026-04-17,CATY,pivot,Missing,23,32,-9,,,False,False
2026-04-17,CMI,ma10_touch_confirm,True,7,8,-1,,,False,False
2026-04-17,CPF,pivot,Missing,86,86,0,,,False,False
2026-04-17,CRUS,ma10_touch_confirm,Missing,19,28,-9,,,False,False
2026-04-17,CSX,pivot,False,40,33,7,,,False,False
2026-04-17,CVEO,pivot,Missing,3,3,0,3.0,3.0,True,True
2026-04-17,DLX,pivot,True,74,76,-2,,,False,False
2026-04-17,ENLT,pivot,False,45,41,4,,,False,False
2026-04-17,ESEA,pivot,Missing,96,96,0,,,False,False
2026-04-17,ESP,pivot,True,92,92,0,,,False,False
2026-04-17,EZPW,ma10_touch_confirm,True,67,70,-3,,,False,False
2026-04-17,FBP,pivot,Missing,24,34,-10,,,False,False
2026-04-17,FCFS,ma10_touch_confirm,False,89,87,2,,,False,False
2026-04-17,FCX,pivot,Missing,12,14,-2,,,False,False
2026-04-17,FDX,pivot,False,41,35,6,,,False,False
2026-04-17,FIGS,pivot,True,13,15,-2,,,False,False
2026-04-17,FLEX,ma10_touch_confirm,Missing,76,78,-2,,,False,False
2026-04-17,FRO,pivot,False,91,91,0,,,False,False
2026-04-17,GATX,pivot,Missing,14,16,-2,,,False,False
2026-04-17,GHM,pivot,False,5,4,1,,,False,False
2026-04-17,GNRC,ma10_touch_confirm,Missing,70,71,-1,,,False,False
